date,class,counts
2017-12-31T05:00:00Z,Asterionella glacialis,617
2017-12-31T05:00:00Z,Bacillaria,142
2017-12-31T05:00:00Z,bad,3
2017-12-31T05:00:00Z,bead,24576
2017-12-31T05:00:00Z,Cerataulina bergonii,49
2017-12-31T05:00:00Z,Ceratium,2
2017-12-31T05:00:00Z,Chrysochromulina lanceolata,4
2017-12-31T05:00:00Z,Ciliophora,1210
2017-12-31T05:00:00Z,Corethron hystrix,172
2017-12-31T05:00:00Z,Coscinodiscus,23
2017-12-31T05:00:00Z,Cryptophyta,43286
2017-12-31T05:00:00Z,Cylindrotheca,1618
2017-12-31T05:00:00Z,detritus,215
2017-12-31T05:00:00Z,Dictyocha,47
2017-12-31T05:00:00Z,Dinobryon,80
2017-12-31T05:00:00Z,Dinophysis,72
2017-12-31T05:00:00Z,Ditylum brightwellii,228
2017-12-31T05:00:00Z,Eucampia,46
2017-12-31T05:00:00Z,Eucampia striata,26
2017-12-31T05:00:00Z,group chaetoceros curly,838
2017-12-31T05:00:00Z,group chaetoceros single cell,3618
2017-12-31T05:00:00Z,group chaetoceros straight,546
2017-12-31T05:00:00Z,group pennate,5171
2017-12-31T05:00:00Z,Guinardia blavyana var. blavyana,26
2017-12-31T05:00:00Z,Gyrodinium,31
2017-12-31T05:00:00Z,Helicopsis,6
2017-12-31T05:00:00Z,Heterocapsa rotundata,16726
2017-12-31T05:00:00Z,Laboea strobila,2
2017-12-31T05:00:00Z,Leptocylindrus,960
2017-12-31T05:00:00Z,Licmophora,335
2017-12-31T05:00:00Z,Margalefidinium,51
2017-12-31T05:00:00Z,Mesodinium,426
2017-12-31T05:00:00Z,Odontella,64
2017-12-31T05:00:00Z,Paralia sulcata,504
2017-12-31T05:00:00Z,Pleurosigma,384
2017-12-31T05:00:00Z,pollen,26
2017-12-31T05:00:00Z,Polykrikos,12
2017-12-31T05:00:00Z,Prorocentrum,494
2017-12-31T05:00:00Z,Protoperidinium,27
2017-12-31T05:00:00Z,Protozoa,98405
2017-12-31T05:00:00Z,Pseudo-nitzschia,196
2017-12-31T05:00:00Z,Pyramimonas longicauda,2032
2017-12-31T05:00:00Z,Rhizosolenia,162
2017-12-31T05:00:00Z,Rhizosolenia delicatula,738
2017-12-31T05:00:00Z,Skeletonema,1711
2017-12-31T05:00:00Z,square unknown,47324
2017-12-31T05:00:00Z,Strobilidium,5
2017-12-31T05:00:00Z,Strombidium morphotype2,89
2017-12-31T05:00:00Z,Thalassionema,129
2017-12-31T05:00:00Z,Thalassiosira,5867
2017-12-31T05:00:00Z,Tintinnina,15
2017-12-31T05:00:00Z,unclassified,117992
2017-12-31T05:00:00Z,unknown1,12
2017-12-31T05:00:00Z,unknown2,34339
2017-12-31T05:00:00Z,zooplankton,12
2018-01-21T05:00:00Z,Akashiwo,86
2018-01-21T05:00:00Z,Asterionella glacialis,1121
2018-01-21T05:00:00Z,Bacillaria,125
2018-01-21T05:00:00Z,bad,2
2018-01-21T05:00:00Z,bead,5410
2018-01-21T05:00:00Z,Cerataulina bergonii,326
2018-01-21T05:00:00Z,Ceratium,3
2018-01-21T05:00:00Z,Ciliophora,2269
2018-01-21T05:00:00Z,Corethron hystrix,856
2018-01-21T05:00:00Z,Coscinodiscus,17
2018-01-21T05:00:00Z,Cryptophyta,5014
2018-01-21T05:00:00Z,Cylindrotheca,2400
2018-01-21T05:00:00Z,detritus,533
2018-01-21T05:00:00Z,Dictyocha,42
2018-01-21T05:00:00Z,Dinobryon,336
2018-01-21T05:00:00Z,Dinophysis,718
2018-01-21T05:00:00Z,Ditylum brightwellii,341
2018-01-21T05:00:00Z,Eucampia,249
2018-01-21T05:00:00Z,Eucampia striata,24
2018-01-21T05:00:00Z,group chaetoceros curly,2154
2018-01-21T05:00:00Z,group chaetoceros single cell,1960
2018-01-21T05:00:00Z,group chaetoceros straight,3724
2018-01-21T05:00:00Z,group pennate,4101
2018-01-21T05:00:00Z,Guinardia blavyana var. blavyana,752
2018-01-21T05:00:00Z,Gyrodinium,37
2018-01-21T05:00:00Z,Helicopsis,1
2018-01-21T05:00:00Z,Heterocapsa rotundata,7640
2018-01-21T05:00:00Z,Laboea strobila,4
2018-01-21T05:00:00Z,Leptocylindrus,4909
2018-01-21T05:00:00Z,Licmophora,897
2018-01-21T05:00:00Z,Margalefidinium,41
2018-01-21T05:00:00Z,Mesodinium,738
2018-01-21T05:00:00Z,Odontella,291
2018-01-21T05:00:00Z,Odontella mobiliensis,1
2018-01-21T05:00:00Z,Paralia sulcata,706
2018-01-21T05:00:00Z,Pleurosigma,287
2018-01-21T05:00:00Z,pollen,11
2018-01-21T05:00:00Z,Polykrikos,36
2018-01-21T05:00:00Z,Prorocentrum,771
2018-01-21T05:00:00Z,Protoperidinium,61
2018-01-21T05:00:00Z,Protozoa,19777
2018-01-21T05:00:00Z,Pseudo-nitzschia,135
2018-01-21T05:00:00Z,Pyramimonas longicauda,3648
2018-01-21T05:00:00Z,Rhizosolenia,263
2018-01-21T05:00:00Z,Rhizosolenia delicatula,893
